Date,strategy,benchmark
2020-10-15,1.6897420475725295,1.4356127594621044
2020-10-16,1.687921945324117,1.4347453073191998
2020-10-19,1.6680267724564362,1.4129322452960995
2020-10-20,1.6742524027426855,1.4185917652977533
2020-10-21,1.6646803336893423,1.4159068526679195
2020-10-22,1.673582760832681,1.4236733918915676
2020-10-23,1.685075730041018,1.4285072138751007
2020-10-26,1.6509466807200726,1.4021082704856695
2020-10-27,1.639213119707439,1.3972743124952154
2020-10-28,1.5925276360042198,1.349517250233831
2020-10-29,1.6077906909847741,1.3632332762149613
2020-10-30,1.5898406182721494,1.349021505006348
2020-11-02,1.6185772832863117,1.3641422104688077
2020-11-03,1.6499946813108903,1.3882275401230633
2020-11-04,1.683636328618282,1.4192530309482405
2020-11-05,1.7249426399935286,1.4469320714792553
2020-11-06,1.7309471483672165,1.4466019826816965
2020-11-09,1.7412555872103097,1.4647793076894116
2020-11-10,1.7397084969891792,1.462631078370318
2020-11-11,1.758468563349975,1.4734963992847687
2020-11-12,1.7400962076895832,1.4592022078819566
2020-11-13,1.7681918054202448,1.4794042679243882
2020-11-16,1.795482157245778,1.4978712876740892
2020-11-17,1.794045645117018,1.489814781694613
2020-11-18,1.7771647757396214,1.4718849892833368
2020-11-19,1.7902122587156761,1.4780821446441788
2020-11-20,1.7865452507911161,1.4679603735674922
2020-11-23,1.8093272391983675,1.476759885357048
2020-11-24,1.8263748432004674,1.500556200303923
2020-11-25,1.8260948505517083,1.4982424505618261
2020-11-27,1.8376754120226568,1.5024152789087148
2020-11-30,1.8300502046633893,1.4957637244244102
2020-12-01,1.843644492186915,1.5121234529382748
2020-12-02,1.8388211380259172,1.5153047908301975
2020-12-03,1.849340711787508,1.5148917378107556
2020-12-04,1.8746481316927042,1.5279463621344782
2020-12-07,1.8724752385888417,1.5248066423604183
2020-12-08,1.8815283625947474,1.5292682134008455
2020-12-09,1.8626026517266043,1.5155527314474
2020-12-10,1.8674594807907279,1.5150568502129957
2020-12-11,1.8601412969532054,1.5132801918024026
2020-12-14,1.857595995841877,1.5065051430337209
2020-12-15,1.8846851670575913,1.5268723154783923
2020-12-16,1.8858657486615067,1.529268213400846
2020-12-17,1.905943424385596,1.537819920580121
2020-12-18,1.907071901885704,1.5316798881261495
2020-12-21,1.8962377614761656,1.526202889412639
